Country	JSTOR	Code	Name	URL
Angola	https://plants.jstor.org/partner/LUBA	LUBA	Instituto Superior de Ciencias da Educação (LUBA)	http://isced.ed.ao/
Argentina	https://plants.jstor.org/partner/BAA	BAA	Herbario Gaspar Xuárez Universidad de Buenos Aires (BAA)	https://www.agro.uba.ar/catedras/botanica_sistematica/herbario
Argentina	https://plants.jstor.org/partner/BAB	BAB	Herbario Instituto Nacional de Tecnología Agropecuaria (BAB)	https://inta.gob.ar/unidades/211000/herbario-taxonomia-y-bioprospeccion
Argentina	https://plants.jstor.org/partner/BAF	BAF	Herbario Museo de Farmacobotánica Juan A. Domínguez Universidad de Buenos Aires (BAF)	http://www.uba.ar/contenido/164
Argentina	https://plants.jstor.org/partner/LP	LP	Herbario Museo de La Plata (LP)	http://www.fcnym.unlp.edu.ar/
Argentina	https://plants.jstor.org/partner/LIL	LIL	Herbarium of the Miguel Lillo Foundation (LIL)	http://www.lillo.org.ar/index.php
Argentina	https://plants.jstor.org/partner/ANGU	ANGU	Instituto Nacional de Tecnología Agropecuaria (ANGU)	https://inta.gob.ar/anguil
Argentina	https://plants.jstor.org/partner/BAL	BAL	Instituto Nacional de Tecnología Agropecuaria, Estación Experimental Agropecuaria (BAL)	https://inta.gob.ar/balcarce
Argentina	https://plants.jstor.org/partner/SI	SI	Instituto de Botánica Darwinion de Buenos Aires (SI)	http://www2.darwin.edu.ar/
Argentina	https://plants.jstor.org/partner/CTES	CTES	Instituto de Botánica del Nordeste (CTES)	http://ibone.unne.edu.ar/
Argentina	https://plants.jstor.org/partner/CORD	CORD	Museo Botánico, Facultad de Ciencias Exactas, Físicas y Naturales, Universidad Nacional de Córdoba (CORD)	http://www.unc.edu.ar/
Armenia	https://plants.jstor.org/partner/ERE	ERE	Institute of Botany of the National Academy of Sciences of Armenia (ERE)	https://www.sci.am/orgsview.php?id=12&amp;langid=2#top
Australia	https://plants.jstor.org/partner/CANB	CANB	Australian National Herbarium (CANB)	http://www.anbg.gov.au/cpbr/
Australia	https://plants.jstor.org/partner/CNS	CNS	Australian Tropical Herbarium (CNS)	http://www.ath.org.au/
Australia	https://plants.jstor.org/partner/CHAH	CHAH	Council of Heads of Australasian Herbaria Incorporated	http://www.chah.gov.au/
Australia	https://plants.jstor.org/partner/NSW	NSW	National Herbarium of New South Wales (NSW), The Royal Botanic Gardens and Domain Trust	http://www.rbgsyd.nsw.gov.au/
Australia	https://plants.jstor.org/partner/MEL	MEL	National Herbarium of Victoria (MEL)	http://www.rbg.vic.gov.au/
Australia	https://plants.jstor.org/partner/NT	NT	Northern Territory Herbarium (NT)	https://nt.gov.au/environment/native-plants/native-plants-and-nt-herbarium
Australia	https://plants.jstor.org/partner/DNA	DNA	Northern Territory Herbarium, Department of Land Resource Management (DNA)	http://www.lrm.nt.gov.au/
